GENE,MASK,AAF_BIN,BETA,LOG10P,CHISQ,score,raw_pvalue,bonferroni_corrected_pvalue,bonferroni_corrected_log10p
TUBGCP5,M4,all,,0.811338,2.02818,0.811338,0.1544052276420071,1.0,-0.0
ABCC2,M4,all,,0.618982,1.37798,0.618982,0.2404462454571033,1.0,-0.0
TBX15,M4,all,,0.430572,0.800158,0.430572,0.37104621007954,1.0,-0.0
OXSM,M4,all,,0.327505,0.520965,0.327505,0.4704299896693913,1.0,-0.0
FANCI,M4,all,,0.327324,0.520506,0.327324,0.4706260906506034,1.0,-0.0
DMXL1,M4,all,,0.279177,0.402497,0.279177,0.5258029277569625,1.0,-0.0
ABCF1,M4,all,,0.25157,0.339163,0.25157,0.560312098445564,1.0,-0.0
ABCA12,M2,all,,0.12581,0.102799,0.12581,0.7484968896692579,1.0,-0.0
ABCA12,M4,all,,0.12581,0.102799,0.12581,0.7484968896692579,1.0,-0.0
ABCA12,M3,all,,0.12581,0.102799,0.12581,0.7484968896692579,1.0,-0.0
